Date,IBIT_Price,FBTC_Price,GBTC_Price,ARKB_Price,BITB_Price,GBTC_Premium,Total_BTC_ETF_Volume,IBIT_Volume_Change_7d,FBTC_Volume_Change_7d,GBTC_Volume_Change_7d,ARKB_Volume_Change_7d,BITB_Volume_Change_7d
2024-08-19,33.619998931884766,51.599998474121094,47.02000045776367,19.643333435058594,32.15999984741211,-14.093579267688341,21112200,-59.01354235711202,-64.85822788207352,-66.73445514262575,-66.39312421093521,-52.12648986233892
2024-08-20,33.91999816894531,52.08000183105469,47.4900016784668,19.833332061767578,32.43000030517578,-12.5281749176883,35803700,14.856909716150835,26.031987814166023,-17.06856135632644,15.693012600229107,35.29056147510013
2024-08-21,35.130001068115234,53.880001068115234,49.119998931884766,20.549999237060547,33.58000183105469,-12.7239294892071,36787000,10.445646326467873,33.74108901278745,-21.561952339705492,-13.145797598627784,21.327014218009488
2024-08-22,34.349998474121094,52.7400016784668,48.060001373291016,20.079999923706055,32.86000061035156,-13.485465410356735,23683000,-21.60358664420886,-27.666246502905278,-38.586005438440615,-8.331459410838772,-5.3175955220248206
2024-08-23,36.279998779296875,55.72999954223633,50.790000915527344,21.219999313354492,34.709999084472656,-13.866794773861985,79312400,171.50032838565613,176.74058639678526,16.333014423163704,70.54204062352385,105.7932263814617
2024-08-26,36.09000015258789,55.40999984741211,50.5,21.09666633605957,34.5,-12.705585133125885,30136300,-33.14239036796277,-38.630233619652266,-58.904855054345425,-41.26370083816893,-32.30576963132681
2024-08-27,35.380001068115234,54.33000183105469,49.5099983215332,20.69333267211914,33.86000061035156,-9.560541388851265,30207200,-14.09604831066934,-23.383109933234802,-36.804924815824,-34.915644171779135,-30.34951573121578
2024-08-28,33.52000045776367,51.470001220703125,46.939998626708984,19.610000610351562,32.08000183105469,-13.56295016489795,57824000,167.11324757792912,266.65266534290515,43.848734040251024,156.16240427683863,289.2604501607717
2024-08-29,33.689998626708984,51.790000915527344,47.209999084472656,19.739999771118164,32.2599983215332,-13.593552342930732,43572400,4.686620595480839,80.9934735315446,-36.18256715894649,94.35643564356435,90.63285482879964
2024-08-30,33.369998931884766,51.22999954223633,46.75,19.543333053588867,31.950000762939453,-14.046570866398907,41122100,-0.7027950891323353,46.97085969096755,-18.446801407329417,48.10806540801011,87.75781250000001
2024-09-03,32.97999954223633,50.70000076293945,46.20000076293945,19.316667556762695,31.610000610351562,-12.560513241977105,40313300,49.94976335062653,223.35515130907854,83.93757397746701,1.8643444130994835,194.10101529366406
2024-09-04,33.040000915527344,50.7599983215332,46.25,19.333332061767578,31.639999389648438,-13.282034695963386,37758800,-61.77542367141251,-27.30206193329102,-26.68166653735744,-41.19724405359554,-55.82812596671409
2024-09-05,31.850000381469727,48.9900016784668,44.65999984741211,18.663333892822266,30.520000457763672,-13.562934403438742,36130100,5.624829951179944,113.52986916393388,29.369027593858487,9.485912916209305,25.12615384615384
2024-09-06,30.40999984741211,46.7400016784668,42.599998474121094,17.816667556762695,29.139999389648438,-14.169757751979262,67961000,107.74606693143683,158.95474400762768,182.77307569466626,130.80004713090608,144.97322508205218
2024-09-09,32.5099983215332,49.970001220703125,45.5099983215332,19.036666870117188,31.149999618530273,-13.244839081250923,44371700,-31.864838894227297,-22.170612066361862,56.147278949941715,6.356816515313901,-39.66864128767317
2024-09-10,33.0,50.70000076293945,46.189998626708984,19.316667556762695,31.56999969482422,-12.909552650961553,19190600,-44.26043847086042,-71.38240047010432,-37.24291845493563,-77.65749702835795,-70.92208971842129
2024-09-11,32.79999923706055,50.369998931884766,45.900001525878906,19.19333267211914,31.40999984741211,-12.995210458280715,35251400,-10.080894171853028,-27.965623324207613,-5.136037284292727,-16.838231372339862,-19.85187034494237
2024-09-12,33.25,51.099998474121094,46.529998779296875,19.46666717529297,31.809999465942383,-12.990390983136994,24562800,-33.27349271166513,-68.86262963498469,-43.891510558177224,-13.377483443708604,-19.2667365845132
2024-09-13,34.040000915527344,52.310001373291016,47.63999938964844,19.90999984741211,32.56999969482422,-14.50966486713457,49673100,67.70538530470486,-35.550689471503816,-18.232804232804234,3.2383419689119064,114.88899782897963
2024-09-16,32.97999954223633,50.66999816894531,46.13999938964844,19.299999237060547,31.56999969482422,-13.816786499025971,30232400,1.7292494921119506,-56.918936035465485,-19.02785846681606,-35.40813768902999,-34.39236708798505
2024-09-17,34.099998474121094,52.41999816894531,47.77000045776367,19.96666717529297,32.65999984741211,-13.902882828521559,60434300,-1.573105308396816,-43.25261589574093,-32.51493032514931,8.663467429038185,-1.5724711772379552
2024-09-18,34.150001525878906,52.47999954223633,47.790000915527344,20.003332138061523,32.72999954223633,-15.740595194716175,42794100,17.572563453535352,-37.2348824450362,0.1686015704031929,-48.48324140857022,-14.497515941008487
2024-09-19,36.0099983215332,55.33000183105469,50.380001068115234,21.06999969482422,34.470001220703125,-12.995752955808083,35764200,99.22521682070094,91.27310061601644,45.26206368311632,36.9371081132434,66.1628375654978
2024-09-20,35.79999923706055,54.94499969482422,50.029998779296875,20.92333221435547,34.22999954223633,-13.945447083073587,23661500,-22.367587893193573,-46.120090116563816,-43.56514522821576,-55.27193432529502,-38.71352922853286
2024-09-23,36.040000915527344,55.380001068115234,50.40999984741211,21.083332061767578,34.5099983215332,-13.479156070176968,24309800,9.2257168119237,-6.813288868251089,-31.57760598080027,7.547956630525432,-52.606224627875505
2024-09-24,36.63999938964844,56.2599983215332,51.22999954223633,21.42333221435547,35.02000045776367,-13.401124112352406,27829800,-40.33479245283019,-30.888429752066116,-48.99702342435616,-63.7504277403901,-61.61191500456265
2024-09-25,35.970001220703125,55.25,50.29999923706055,21.046667098999023,34.43000030517578,-13.412750315059574,19410500,-35.2779582632625,-22.241822859242923,-43.02162697734805,-51.83029362307593,-27.833583208395808
2024-09-26,36.84000015258789,56.61000061035156,51.540000915527344,21.56333351135254,35.27000045776367,-14.052065266155484,59965800,4.033134336598088,-4.1736453759449565,-30.517374840477828,-9.330514446793515,9.14854748003009
2024-09-27,37.38999938964844,57.43000030517578,52.310001373291016,21.886667251586914,35.79999923706055,-13.576344067804586,45847700,0.1372859673633764,4.848097217780611,-11.310955083197072,101.7500514721021,13.35041405499382
2024-09-30,36.130001068115234,55.529998779296875,50.5,21.156667709350586,34.59000015258789,-13.324273288394686,34033400,-7.401763534052397,-9.13970624115552,-20.91446649843697,38.365478007492726,14.238932686476646
2024-10-01,35.130001068115234,53.97999954223633,49.119998931884766,20.56333351135254,33.63999938964844,-12.238775201792363,65194100,175.5640465793304,194.06610187979493,146.60902299864716,165.18497275595067,191.83396865734858
2024-10-02,34.2400016784668,52.619998931884766,47.91999816894531,20.043333053588867,32.790000915527344,-14.094405531207574,43615900,69.72500404745936,99.79161947904869,126.56444002979885,74.09848778596356,146.8478757423481
2024-10-03,34.720001220703125,53.349998474121094,48.58000183105469,20.323333740234375,33.2400016784668,-13.092710297543771,29163900,-6.484484494613973,6.992193987709672,93.28089317432125,37.94839521711768,-13.286357076152477
2024-10-04,35.52000045776367,54.560001373291016,49.68000030517578,20.793333053588867,34.0,-12.997912397265738,30960500,67.01508071838253,27.937423196899513,29.23187623673322,115.49409237379163,10.647138256985556
2024-10-07,36.060001373291016,55.41999816894531,50.439998626708984,21.123332977294922,34.529998779296875,-11.907089284404181,30563200,-49.04588116390196,-46.753901144755694,-37.525593159099124,-51.77988496813306,-60.91693741590365
2024-10-08,35.400001525878906,54.400001525878906,49.52000045776367,20.726667404174805,33.90999984741211,-13.36812829693097,35347200,-12.744897782547737,-41.6193903902072,-33.17156490619239,-46.18838657005817,-33.63471241170535
2024-10-09,34.68000030517578,53.279998779296875,48.52000045776367,20.303333282470703,33.22999954223633,-12.946019414755567,25139500,-21.81433261050304,-33.76745435016112,-25.35479569482808,-39.26995587645408,-44.53763669179318
2024-10-10,33.95000076293945,52.150001525878906,47.4900016784668,19.873332977294922,32.5,-14.359194946765651,36326700,-40.81010006716681,-59.03779813791312,-47.78896150360158,-49.54579863739591,-41.10475748164058
2024-10-11,35.939998626708984,55.22999954223633,50.27000045776367,21.02666664123535,34.40999984741211,-12.497035424052273,52801900,13.782977215741843,44.59912933067296,0.8549116317303707,42.219747587230884,66.4337929120015
2024-10-14,37.56999969482422,57.68000030517578,52.47999954223633,21.959999084472656,35.95000076293945,-13.630848496712936,65208700,141.0555931286352,75.87084756286868,5.726513679567291,181.93430656934305,247.37615038182886
2024-10-15,38.16999816894531,58.619998931884766,53.29999923706055,22.32666778564453,36.52000045776367,-13.58319944356733,74489500,136.62914296574252,140.8917950422993,93.04472902746845,203.90031152647973,177.21554637626738
2024-10-16,38.58000183105469,59.2400016784668,53.880001068115234,22.573333740234375,36.90999984741211,-13.381358367135379,37320000,26.052707570973443,4.060328256690826,1.879608655838827,1.3432194283258037,87.29532286506003
2024-10-17,38.04999923706055,58.40999984741211,53.15999984741211,22.26333236694336,36.38999938964844,-14.268918127074235,33790600,-22.0118873793804,-5.485702344049315,165.67812081626028,-12.876920159302108,28.719133925313223
2024-10-18,39.06999969482422,60.029998779296875,54.599998474121094,22.8700008392334,37.380001068115234,-13.258002309601322,52571300,118.26627932470947,56.071356172714374,117.74275870868954,101.00726552179657,75.77526799387442
2024-10-21,38.56999969482422,59.23500061035156,53.88999938964844,22.559999465942383,36.91999816894531,-13.050386891509202,41302100,10.68182255303598,39.60276494913821,41.62631338510736,18.926160111456426,-27.32873336619024
2024-10-22,38.40999984741211,58.97999954223633,53.63999938964844,22.459999084472656,36.7400016784668,-13.445472105681661,33378900,-28.223560902291656,-55.54928340703108,-37.060885157714566,-52.63350211410973,-57.40138437161204
2024-10-23,37.810001373291016,58.06999969482422,52.83000183105469,22.100000381469727,36.15999984741211,-13.56011228647428,37425600,-42.1562135968092,-37.46469425222426,-37.17436113939454,-55.49757281553398,-35.6895239705758
2024-10-24,38.869998931884766,59.720001220703125,54.31999969482422,22.729999542236328,37.189998626708984,-13.376519480434776,35063000,-49.54052186256747,-59.436870274663754,-61.071986540079315,-71.05543710021323,-43.60797859731112
2024-10-25,38.0099983215332,58.38999938964844,53.09000015258789,22.22333335876465,36.369998931884766,-13.408716180558395,71136200,94.33142427941038,47.01034443560306,85.93121718151284,158.4879652210794,33.324366733916165
2024-10-28,39.66999816894531,60.93000030517578,55.380001068115234,23.196666717529297,37.970001220703125,-13.89274206682616,70120600,178.05092722138843,91.98481721698113,-41.144043856032496,27.296473661297348,36.812511812511815
2024-10-29,41.33000183105469,63.45000076293945,57.66999816894531,24.163333892822266,39.52000045776367,-13.800390051273927,106248400,104.83494682387212,127.0450707884141,98.83090626739724,59.434814753963686,81.52463925946094
2024-10-30,40.880001068115234,62.790000915527344,57.08000183105469,23.90999984741211,39.130001068115234,-14.232961593048026,43525100,11.230163970889784,2.499513502994666,-30.81414102315979,-21.158871767144273,36.337741607324524
2024-10-31,39.779998779296875,61.06999969482422,55.61000061035156,23.286666870117188,38.08000183105469,-13.913705866927076,69374500,100.39210942355746,157.49611965570764,74.9244582577916,127.2647123649989,147.7355781780214
2024-11-01,39.369998931884766,60.470001220703125,55.0099983215332,23.02666664123535,37.66999816894531,-13.944513613084403,70374800,93.7441795492643,128.97953422724066,50.75500039528818,62.23979638214707,38.697519502147436
2024-11-04,38.25,58.77000045776367,53.4900016784668,22.3799991607666,36.599998474121094,-14.260413832696011,52673600,33.437841239288545,102.81663516068052,38.51568288466287,164.86754497804222,104.64208503483063
