horizon,model,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae,train_mape,test_mape,feature_set,n_features,days
1-day,XGB_all,0.996031620995352,0.6026039941399546,563.3833991007846,4380.9218697345095,436.2293442234849,3666.1748828125,0.9738846666674665,6.430459014812194,all,84,1
7-day,RF_top10,0.8581648519127313,0.18634043873806827,3375.8583087281218,6167.895795872971,2551.2033825945396,5394.59187312745,5.586529558775653,9.524862219388913,top10,10,7
7-day,XGB_top10,0.9803763360433208,-0.16199453567341715,1255.6896831016295,7370.8522312291,968.2937173045154,6597.7763073979595,2.170632831665108,11.712333191724888,top10,10,7
7-day,RF_top20,0.9143205001714156,-0.9658201281436887,2623.8000633191464,9587.106471650433,1910.1941839794702,8716.12460739326,4.228317871918768,15.272255340665497,top20,20,7
7-day,XGB_top20,0.993126907646786,-1.7884905922984866,743.1361132825369,11418.268563006666,564.7897680341409,10825.285514987245,1.2577549855675298,19.289109223021413,top20,20,7
7-day,RF_top30,0.9291431367331537,0.33518200163261813,2386.070318389046,5575.284656552944,1742.9365586619467,4406.234146299479,3.83147912402958,7.726701507723307,top30,30,7
7-day,XGB_top30,0.9944804680750967,-1.0525992019801702,665.9527271678052,9796.427745525365,506.0906869493392,8781.197385204081,1.1347671000405095,15.29501523804718,top30,30,7
7-day,RF_top40,0.9433261085355734,0.034587982251925165,2133.9478116064083,6718.495214562399,1571.2407696106948,5748.621672902069,3.4783131632652906,10.07544056378624,top40,40,7
7-day,XGB_top40,0.995460289276505,-1.1478190066697076,603.9574835103897,10021.079382147656,454.80744940803964,9011.909558354591,1.0221083594499605,15.721137156406288,top40,40,7
7-day,RF_top50,0.9446284109850381,-0.04938498466423802,2109.2874580367197,7004.595884707049,1545.0351724450095,6046.536196569959,3.4180690010503105,10.633089176262796,top50,50,7
7-day,XGB_top50,0.9958371521700534,-1.2576305834725088,578.345745148887,10274.060094392138,439.6453572411894,9191.086375956633,0.9879778471496057,15.984176262778268,top50,50,7
7-day,RF_all,0.9452962545643514,-0.009007626592832718,2096.5286816604544,6868.515556556932,1523.8200027648281,5876.528946024165,3.373964406279407,10.336117525963816,all,84,7
7-day,XGB_all,0.9961247368274577,-0.7969652099498088,558.0111507192132,9166.119107658513,425.9609633122247,7817.234095982143,0.9533436697172314,13.383966321474913,all,84,7
30-day,RF_top10,0.8728395354385948,-3.44735009419996,3270.727430633901,13071.040220384757,2377.8960624638007,10631.159047794583,5.400530532177379,18.505967741745938,top10,10,30
30-day,XGB_top10,0.9887518971883571,-3.60690013172,972.765005924462,13303.438023036382,773.9870223637441,11461.825678228022,1.7732235170611832,20.12069637042224,top10,10,30
30-day,RF_top20,0.9491611630855632,-5.033139760953909,2068.0741371026684,15224.08446802434,1563.3997766695566,13942.816459173915,3.5151606390263925,24.057277909896857,top20,20,30
30-day,XGB_top20,0.9947825388331698,-5.318385168302791,662.5183521536168,15579.823749604955,536.3481746149289,14107.430760645604,1.2152616795716398,24.33064587380066,top20,20,30
30-day,RF_top30,0.9549620533458779,-7.84841744104471,1946.5142678151674,18437.086506722364,1491.454298966087,17400.449809067846,3.315458768983628,30.3052005816597,top30,30,30
30-day,XGB_top30,0.9960393167671069,-7.5649956925964865,577.2359291493908,18139.406204752882,465.8968638921801,16664.416981456045,1.0419546870080618,28.766154499750762,top30,30,30
30-day,RF_top40,0.9598268521972922,-7.400069057372811,1838.3840002446864,17963.912047219856,1411.7631368017705,16897.886093099714,3.1498884689317745,29.38108918234046,top40,40,30
30-day,XGB_top40,0.9966408017902281,-7.288279480207704,531.6013992755308,17843.97825588986,420.7218231635071,16390.87306833791,0.9448274565848815,28.27179717578272,top40,40,30
30-day,RF_top50,0.9664041149969599,-6.9197991093518665,1681.1688843596648,17442.81499905948,1299.6078584791364,16193.717457401573,2.903423944183216,28.045458195410273,top50,50,30
30-day,XGB_top50,0.9970347968330724,-6.961673489778854,499.4540371915748,17488.866933833462,390.1850099970379,16117.667067307691,0.8779273774662908,27.838700819704165,top50,50,30
30-day,RF_all,0.9645609861299569,-6.058015208051074,1726.669090433931,16466.480596894777,1316.0316252868454,15140.434366879112,2.9520144092502774,26.11763571049647,all,84,30
30-day,XGB_all,0.9974457402121087,-5.86726621980899,463.5545342335067,16242.446080800291,364.0327402991706,14811.98458962912,0.8291378283345611,25.47527192926759,all,84,30
