Feature,Coefficient,Abs_Coefficient,SHAP_Importance
BITB_Price,238.95488251554715,238.95488251554715,2006.5428921702974
IBIT_Price,238.85747286955106,238.85747286955106,1998.7691854033392
GBTC_Price,238.5887774820382,238.5887774820382,1889.1033580524788
Hash_Ribbon_MA60,238.1213090034819,238.1213090034819,811.874744879708
Difficulty_MA30,231.49337563108966,231.49337563108966,785.8580448747797
EMA100_volume,-226.21922323644623,226.21922323644623,234.2191805026469
OIL,216.9784919975368,216.9784919975368,167.9932569693309
Difficulty_MA60,216.22374406637306,216.22374406637306,754.555270709142
M2SL,213.6647189547403,213.6647189547403,267.7755278142398
Difficulty_MA90,193.22725134253878,193.22725134253878,694.4928024880104
EMA200_volume,-192.81087671682843,192.81087671682843,178.78860532948764
bc_hash_rate,191.33420785369483,191.33420785369483,623.4934343882003
LQD,190.73067940758466,190.73067940758466,99.54192639687054
TLT,176.80200695307332,176.80200695307332,147.12197591138454
WTREGEN,-174.45429313604546,174.45429313604546,89.06890434734062
Avg_Fee_Per_Tx,-169.62239882633415,169.62239882633415,137.8529350330371
ROC,141.78941573993183,141.78941573993183,74.89727859817835
google_trends_btc,-132.83453308061698,132.83453308061698,241.41995858095882
Stoch_K,129.90897575946346,129.90897575946346,109.53427497004606
Williams_R,129.90861063709193,129.90861063709193,109.53396711321179
UNRATE,-115.43870680632635,115.43870680632635,16.532690889238694
CCI,111.48501510050178,111.48501510050178,90.68438590593492
bc_n_unique_addresses,111.22298482996594,111.22298482996594,202.7464972912966
Puell_Multiple,110.77327553912144,110.77327553912144,58.6472268092939
GDP,94.70902897840247,94.70902897840247,176.64855519006522
GBTC_Premium,85.49314984739168,85.49314984739168,128.11098428267542
Avg_Fee_Per_Tx_MA30,-82.94888266549408,82.94888266549408,71.23562275060026
UUP,82.93435279015483,82.93435279015483,137.49284739663221
FBTC_Volume_Change_7d,68.82673698603665,68.82673698603665,121.08769761556361
SILVER,67.77960585091391,67.77960585091391,296.45824594384624
bc_total_bitcoins,66.2294127225652,66.2294127225652,128.08292886719653
bc_transaction_fees,58.71345088560764,58.71345088560764,35.86374224185574
DGS10,-49.96653484635414,49.96653484635414,48.31640848996248
DXY,-49.07780980183675,49.07780980183675,27.61971686248658
WALCL,-41.36188133400101,41.36188133400101,119.07680181263767
FED_NET_LIQUIDITY,-40.81182818036586,40.81182818036586,117.45200081889274
MACD_diff,37.82538848057261,37.82538848057261,42.45073134004078
volume_change,30.491819366418596,30.491819366418596,28.237486079580304
Mempool_Stress,28.701757484005427,28.701757484005427,11.074057125288828
IBIT_Volume_Change_7d,28.51710016955678,28.51710016955678,46.66334998182012
VIX,26.473280965675443,26.473280965675443,20.10795031365514
CPIAUCSL,-25.59472542502177,25.59472542502177,40.7205866562612
VIXCLS,24.757131836531247,24.757131836531247,18.79013364457545
BITB_Volume_Change_7d,22.761812896492767,22.761812896492767,40.7632984167425
MFI,-20.915164699042155,20.915164699042155,15.594298197001645
Stoch_D,20.016352745646905,20.016352745646905,17.066192945028956
GBTC_Volume_Change_7d,18.086045921581754,18.086045921581754,35.31397519435697
EURUSD,9.30185082748328,9.30185082748328,5.900661880622594
DTWEXBGS,8.171327505056121,8.171327505056121,8.85651870124889
ARKB_Volume_Change_7d,-7.133772119168327,7.133772119168327,14.278128016359359
Active_Addresses_Change,-5.433231433959883,5.433231433959883,4.098350374694177
Miner_Revenue_to_Cap_MA30,5.229611472888113,5.229611472888113,38.23445284792943
DEXUSEU,3.4327552045263854,3.4327552045263854,2.1946081718316686
